Original Tweet Index,Actual Value,Predicted Value
545879,0,0.0007061989
417816,0,0.0017662109
35942,0,0.0022712843
65873,0,0.00361283
41344,0,0.0016210302
25896,0,0.00056575984
654998,0,0.005126425
495574,0,0.0005082322
192991,0,0.0045577325
404941,0,0.26540732
475018,0,0.0023098919
421474,0,0.0042294716
762586,0,0.002186347
628407,0,0.009038948
440946,0,0.9383405
193163,0,0.003975912
92063,0,1.0054684
797423,0,0.0035540175
161710,0,0.0019086075
636855,0,0.009021497
617482,0,0.0057949717
124775,0,0.00040828885
197499,0,0.0033225697
657689,0,0.0023112658
666178,0,0.002886078
229085,0,0.0016586826
552662,0,0.0011070551
797335,0,0.0014287931
653226,0,0.00017836128
157475,0,0.002449385
77718,0,0.0016421218
360928,0,0.011129724
167361,0,0.004796558
648172,0,0.0016486906
583368,0,0.00057300454
477105,0,0.002943214
258099,0,0.00068996847
56001,0,0.003483451
20400,0,0.0027115094
62487,0,0.0012003479
188816,0,0.0013875004
6453,0,0.0028888374
431839,0,0.0048198625
379609,0,0.9952831
734580,0,0.81377965
120709,0,0.0021874337
373082,0,1.003559
656886,0,1.0016217
531109,0,0.9826402
709308,0,0.0020156088
491071,0,0.9978924
531117,0,0.9508947
706441,0,0.0025015601
267108,0,0.0053442237
352726,0,0.0037850088
275611,0,0.003499342
85847,0,0.00021860731
581529,0,0.0033953607
334873,0,0.0017299913
192377,0,0.0052218456
629377,0,0.003866947
370009,0,0.008689044
361454,0,0.0018678725
412045,0,0.0027737813
511921,0,1.0184453
558984,0,0.004572634
564074,0,0.0032394517
178323,0,0.002292783
777177,0,0.0011205713
44255,0,0.004201771
633812,0,0.003882758
617288,0,0.0033087584
174068,0,0.0012138888
313969,0,0.0050640563
558658,0,1.0180585
171269,0,0.0060839476
36599,0,0.0023405112
233134,0,0.9846152
183592,0,0.0011314463
768825,0,0.0015903919
329674,0,0.0029215955
182059,0,0.004214005
560247,0,0.0023128719
208145,0,0.68749285
71507,0,0.98342466
679718,0,0.002173381
793599,0,0.0036844586
462864,0,0.9194366
488354,0,0.0024707543
113652,0,0.002496154
175719,0,0.001811724
177254,0,1.0102754
415990,0,0.0011805141
312271,0,0.00054183335
440547,0,0.0013042892
426718,0,0.0008280578
613624,0,0.0023778325
97486,0,0.9960058
118859,0,0.0038504263
183089,0,0.6523471
306867,0,0.007706217
718723,0,0.0030317686
416299,0,0.0024954595
262013,0,0.008252307
514106,0,9.925642e-05
6827,0,0.08030036
385265,0,0.003045424
604165,0,0.0019358817
780826,0,0.0014885856
513922,0,0.0033832698
590867,0,0.0021072347
146397,0,0.0012456442
208498,0,0.0058552534
73156,0,0.0012776526
207396,0,0.001602555
497442,0,0.94911057
199629,0,0.003298089
682989,0,0.006952231
348472,0,0.0030598552
8735,0,0.0036492913
188323,0,0.00096497615
102516,0,0.0023656655
626065,0,0.0019519554
58983,0,0.98786664
414412,0,0.0048091686
174188,0,0.0028687865
149402,0,0.004169207
267734,0,0.0033234353
724129,0,0.0018893466
575167,0,0.0042413855
683616,0,0.0004126065
669423,0,0.0020892257
424332,0,0.9964541
544516,0,0.0017937685
638153,0,0.002292176
66179,0,0.0016486906
620703,0,0.005329644
211010,0,0.0027998546
59730,0,0.0020674947
655594,0,0.7669345
684499,0,0.003382187
276118,0,0.984997
452222,0,0.0006534852
396824,0,0.98095775
536975,0,0.992421
543408,0,0.992421
48930,0,0.009893103
201548,0,0.0033277264
274974,0,0.0015265767
551109,0,0.0023594622
565950,0,0.992421
593440,0,0.0023656655
543036,0,0.98342466
242079,0,8.895248e-05
91881,0,0.003071499
575903,0,0.00085118547
397959,0,1.0379697
679821,0,0.00444041
305422,0,0.0045127277
235673,0,0.0062303026
735471,0,0.0018912095
273115,0,0.0039243973
213205,0,0.0018810995
739273,0,0.005664076
696982,0,0.0015916306
314081,0,0.0030738872
104462,0,0.0051210364
50318,0,0.0015829002
391622,0,0.004882759
706666,0,0.008089559
671065,0,0.0041331304
7495,0,0.9960058
694467,0,0.0022020459
59005,0,0.0014252518
766207,0,0.0060844994
99779,0,0.9598535
361753,0,0.005435014
486137,0,0.0013561181
664283,0,0.0032340474
374522,0,0.0013701804
511680,0,0.0026454525
303109,0,0.0061747422
15126,0,0.993872
95298,0,0.0053787287
285598,0,0.0055824327
610954,0,0.0063212053
49817,0,0.0042916844
243995,0,0.031326257
271857,0,0.0018650582
342235,0,0.0019825937
428676,0,0.0025495833
621321,0,0.0034993952
715866,0,0.0031474908
777953,0,0.9956175
197183,0,0.0033915548
431241,0,0.0015678616
333968,0,0.9960058
787639,0,0.0048772483
294041,0,0.0027626797
324280,0,0.0077592386
161853,0,0.0012609985
487401,0,0.0029708878
647302,0,0.002688806
653107,0,0.0021620567
108721,0,0.0030314624
568163,0,0.0030053244
469105,0,0.006153295
38062,0,0.0039483695
533651,0,0.013768688
552059,0,0.0043939017
676934,0,0.0017163153
48284,0,0.0028391224
343106,0,0.0013828841
182059,0,0.004214005
153363,0,0.00055894983
230754,0,0.0014429373
400024,0,0.12174138
743843,0,0.002304621
433503,0,0.0008807525
394567,0,0.0021272835
369481,0,0.007100848
300033,0,0.9960058
214208,0,0.0018742167
165278,0,0.0012592536
161359,0,0.005683657
561939,0,0.9978924
229546,0,0.007355294
56566,0,0.0018550546
781766,0,0.0013416162
341389,0,0.0023502694
561640,0,0.0020649943
10168,0,0.004329377
662186,0,0.0016983692
434389,0,0.0011333853
126254,0,0.9931315
238973,0,0.0067251287
510236,0,0.997879
797099,0,0.00025523975
420002,0,0.0024055005
636675,0,0.996736
111660,0,0.005095028
304210,0,0.003961987
320142,0,0.0023200077
589612,0,0.0026812362
160290,0,0.0010280854
752041,0,0.0016230396
39693,0,0.025136475
435513,0,0.0020709333
736524,0,0.9978924
666737,0,0.0013057544
625447,0,0.005472929
426298,0,0.9968027
222753,0,0.0011390103
583198,0,0.0015506558
780754,0,0.008695312
105649,0,0.001192841
785282,0,0.005435433
539099,0,0.9952831
596031,0,0.0020578508
722789,0,0.0013954107
582934,0,0.001095457
716040,0,0.44037536
251915,0,0.08730705
473957,0,0.0032738748
363667,0,0.0038769373
50836,0,0.002446521
