predicted,actual
Epochs: 800
1.1121358,1
0.0,0
0.8783196,1
3.9779892,4
0.0,0
0.0,0
7.0142183,7
3.0670493,3
5.0182395,5
3.0670493,3
8.050745,8
8.997873,9
1.0203853,1
3.0670493,3
3.0670493,3
0.9698124,1
2.0108013,2
0.0,0
7.0219665,7
5.9490824,5
8.006996,8
6.0260205,6
2.0108013,2
0.0,0
2.0108013,2
3.0670493,3
6.0723133,6
9.056182,9
8.97114,9
7.063301,7
7.983949,8
9.03521,9
3.9476595,4
8.983754,9
2.0108013,2
1.0059316,1
3.0670493,3
1.1272613,1
0.90748763,1
3.947814,4
8.993971,9
0.9677067,1
3.9483235,4
5.2189317,4
2.0108013,2
6.039345,6
3.0670493,3
7.048049,7
7.0114603,7
3.9493985,4
7.003708,7
5.0192385,5
0.8994465,1
9.006564,9
0.0,0
2.0108013,2
2.0108013,2
3.0670493,3
8.992337,9
1.0576336,1
1.2516681,1
1.1844959,1
5.032216,5
0.0,0
6.032797,6
3.0670493,3
3.9477096,4
8.239638,8
0.97908413,1
0.0,0
3.0670493,3
8.96286,9
6.053484,6
2.0108013,2
6.018036,6
3.947143,4
7.007804,7
0.9711962,1
3.9473035,4
0.90752554,1
5.0229044,5
3.9511092,4
7.921079,8
9.028738,9
2.0108013,2
8.98291,9
8.97547,9
7.9429836,8
8.939222,9
6.003268,6
3.0670493,3
6.033442,6
3.9532275,4
6.0050287,6
2.0108016,2
8.946433,9
0.88221395,1
2.0108013,2
0.0,0
5.0253906,5
8.979044,9
2.0108013,2
7.0321894,7
7.032293,7
2.0108013,2
7.9939737,8
7.968268,8
5.01672,5
0.0,0
6.0376544,6
0.0,0
0.0,0
2.0108013,2
8.934822,9
0.0,0
3.9488297,4
7.054519,7
7.0235624,7
0.9388461,1
5.0224,5
7.014617,7
9.078858,9
3.9904106,4
6.050934,6
1.0025939,1
4.924264,5
7.0731435,7
6.0124636,6
3.0670493,5
0.0,0
3.9517756,4
8.019789,8
7.044796,7
5.8858175,6
0.9326918,1
7.9220905,8
7.0426164,7
3.0670493,3
7.046203,7
3.0670493,3
1.0912048,1
0.0,0
3.0670493,3
3.9478283,4
5.0167603,5
3.9518204,4
0.0,0
5.0583363,5
3.9513848,4
2.08384,0
3.0670493,3
5.0305243,5
0.87260485,1
0.0,0
7.9460635,8
3.0670493,3
7.011276,7
0.0,0
8.603373,9
6.0647306,6
6.0474777,6
8.967747,9
5.036379,5
3.958325,4
6.0040274,6
8.956418,9
3.0670493,3
5.02664,5
3.9554718,4
2.0108013,2
3.9632306,4
7.986577,8
7.041216,7
6.9818287,7
5.0316725,5
7.985723,8
8.00896,8
7.9857035,8
2.0108023,2
6.0235057,6
8.9685135,9
3.0670493,3
1.0261908,1
0.0,0
3.9518821,4
1.0495763,1
5.022043,5
8.9901705,9
0.0,0
6.051156,6
2.0108013,2
1.0991516,1
3.0670493,3
0.0,0
6.81141,6
0.0,0
0.0,0
7.977812,8
3.0670493,3
2.0108013,2
0.0,0
0.0,0
6.035978,6
0.0,0
0.0,0
3.9745023,4
7.0279465,7
2.0108013,2
7.022285,7
0.9652413,1
8.99148,9
9.041284,9
3.0670493,3
8.990694,9
8.036827,8
3.9737542,4
6.0289707,6
5.9644804,6
5.01482,5
3.0670493,3
8.037572,8
0.9623704,1
7.994564,8
7.003066,7
1.078481,1
3.0670493,3
7.0401864,7
6.029061,6
3.0670493,3
6.029898,6
3.0670493,3
6.03498,6
3.0670493,3
2.0108013,2
3.0670493,3
2.0108013,2
2.0108013,2
6.9833784,7
9.010795,9
2.0108013,2
3.0670493,3
2.0108013,2
7.010454,7
5.0129557,5
5.0158596,5
8.068512,8
8.768217,8
2.0108013,2
0.0,0
0.9359157,1
3.9479995,4
0.0,0
6.0199375,6
3.0670493,3
6.987691,7
1.0505025,1
1.0751612,1
1.0389915,1
3.9503212,4
7.044367,7
0.0,0
2.0108013,2
8.968166,9
2.0108013,2
0.0,0
5.037347,5
6.05065,6
0.0,0
7.920267,8
9.059299,9
6.05013,6
2.0108013,2
0.0,0
0.0,0
7.0488405,7
2.0108013,2
0.0,0
3.9471807,4
2.0108013,2
0.0,0
8.9738455,9
1.0639874,1
6.015408,6
8.9471855,9
3.0670493,3
0.0,0
0.0,0
2.0108013,2
0.0,0
6.0304894,6
7.959198,8
3.9521255,4
0.0,0
7.049792,7
2.0108013,2
1.012927,1
9.029657,9
5.0094237,5
2.0108013,2
3.9497275,4
8.025215,8
4.812818,5
2.0108013,2
8.974335,9
7.022725,7
8.963369,9
2.0108013,2
8.94627,9
6.993725,7
3.9471385,4
8.976782,9
3.0670493,3
2.0108013,2
6.994524,7
3.0670493,3
6.0383773,6
3.0670493,3
6.0238743,6
8.005735,8
7.9932823,8
3.0670493,3
7.0016613,7
0.0,0
9.00082,9
2.0108013,2
7.006706,7
8.981531,9
0.0,0
5.020783,5
3.9472575,4
3.0670493,5
7.9795027,8
3.9710035,4
3.0670493,3
3.0670493,3
0.9661491,1
7.043093,7
8.007843,8
8.982477,9
6.9937277,7
6.00632,6
2.0108013,2
1.1211699,1
7.005842,7
0.0,0
5.017974,5
6.028021,6
3.0670493,5
2.0108013,2
8.972372,9
4.6413984,5
3.9521894,4
6.016342,6
2.0108013,2
2.0108013,2
2.0108013,2
8.954958,9
0.0,0
7.0798087,7
7.056059,7
2.0423694,2
2.0108013,2
6.033281,6
3.0670493,3
3.9501152,4
2.0898228,2
0.0,0
5.0162263,5
8.995527,9
3.0670493,6
2.0108013,2
1.1464478,1
8.963068,9
0.0,0
6.0207767,6
0.0,0
3.947138,4
7.979192,8
3.952836,4
3.0670493,3
1.0675375,1
5.026514,5
3.9491105,4
2.0108013,2
9.00346,9
5.0088344,5
7.00933,7
3.0670493,3
1.0110211,1
5.022375,5
3.9577885,4
5.02398,5
3.0670493,3
7.0107203,7
3.0670493,3
8.017517,8
6.0521417,6
2.0108042,2
3.9472117,4
6.0598106,6
0.8776411,1
1.0435021,1
3.952621,4
0.0,0
0.0,0
5.0213623,5
7.9841957,8
6.009862,6
7.012045,7
3.9512448,4
2.0108013,2
7.9697556,8
0.0,0
2.0108013,2
5.0112247,5
3.9489484,4
8.070391,8
3.0670493,3
0.0,0
6.027378,6
3.9471636,4
7.9268312,8
6.0584073,6
3.9611912,4
0.96276164,1
8.023301,8
0.93275046,1
5.0188684,5
3.9937797,4
8.129498,9
3.94911,4
3.0670493,3
2.0108013,2
0.0,0
5.020711,5
0.0,0
7.005805,7
8.947261,9
2.0108013,2
8.937441,9
7.924751,8
8.963758,9
6.0187984,6
4.9253454,5
2.0108013,2
3.9487352,4
3.9615273,4
6.041271,6
3.9472656,4
8.013109,8
3.950235,4
1.0897977,1
7.031473,7
5.0088873,5
7.9697056,8
8.225626,9
4.709758,5
9.077177,9
3.0670493,3
2.0108013,2
3.0670493,5
7.9733477,8
2.0108013,2
2.0108013,2
7.0860844,7
2.0108013,2
7.983906,8
3.9699714,4
1.1142102,1
8.971974,9
3.0670493,3
6.0315375,6
0.0,0
2.0108013,2
2.0108013,2
9.007992,9
0.92148507,1
2.0108013,2
7.002205,7
2.0108013,2
0.9634203,1
3.0670493,3
3.9786267,4
8.974419,9
0.89633524,1
8.001961,8
0.0,0
2.0108013,2
2.0108013,2
3.0670493,3
3.9498982,4
1.1384187,1
3.0670493,3
6.9937086,7
3.9474077,4
1.1402922,1
3.9883533,4
0.9585899,1
5.0134463,5
8.875212,9
6.0590982,6
9.013023,9
0.0,0
5.0127454,5
7.0129952,7
6.016237,6
8.033026,8
2.0108013,2
0.0,0
7.0327435,7
3.0670493,3
5.012858,5
8.036621,8
2.0108013,2
8.027317,8
2.0108013,2
3.8545492,4
7.8951726,8
4.986757,5
7.989544,8
8.979215,9
7.0257,7
1.0790231,1
2.0108013,2
3.9473696,4
5.0099154,5
6.779765,5
1.0836034,1
5.009588,8
1.1044643,1
3.9494348,4
3.9474626,4
6.0328813,6
5.026989,5
8.206574,8
9.003799,9
2.0108013,2
4.668638,3
0.0,0
5.016808,5
1.0971317,1
3.9581017,4
0.0,0
5.027688,5
1.0612662,1
2.0108013,2
8.9042015,9
2.0108013,2
4.000753,4
0.95002556,1
6.032252,6
8.050642,8
0.0,0
3.9563887,4
9.014177,9
0.0,0
0.0,0
5.024538,5
8.981432,9
2.0108013,2
3.0670493,3
5.019845,5
8.977585,9
3.9525747,4
3.9612405,4
3.0670493,3
8.990393,9
2.0108013,2
3.0670493,3
5.0243425,5
6.0256205,6
5.01846,5
2.0108013,2
6.9938264,7
2.0108013,2
3.9491806,4
2.0108013,2
5.6002607,4
7.002261,7
2.0108013,2
5.0152392,5
3.0670493,3
7.0203056,7
6.018871,6
0.90792656,1
0.0,0
6.9877005,7
3.0670493,5
3.9494886,4
5.0154624,5
0.9115735,1
6.054256,6
9.005917,9
7.0787153,7
1.1919941,1
6.009458,6
3.0670493,3
3.0670493,3
0.88993025,1
2.0108013,2
2.0108013,2
0.0,0
5.0141215,5
0.0,0
6.0508704,6
8.01657,8
3.0670493,3
6.0347314,6
5.8676653,7
7.0234766,7
3.0670493,3
7.949566,8
1.2300943,1
7.031457,7
8.953276,9
3.0670493,3
8.938189,9
2.0108013,2
7.9773808,8
3.0670493,3
7.019393,7
3.9505935,4
2.0108013,1
2.0108013,2
3.0670493,3
6.088323,6
5.0118723,5
0.0,0
1.0044439,1
7.9900413,8
6.0387344,6
8.96346,9
2.0108013,2
0.9683757,1
6.0284953,6
0.0,0
2.0108013,2
8.100041,8
0.0,0
7.9701076,8
8.000368,8
8.960025,9
1.2071607,1
2.0108013,2
3.0670493,2
1.0619274,1
3.950504,4
7.9492025,8
1.0079534,1
3.9471478,4
3.9566655,4
5.013201,5
0.94970703,1
8.023777,8
7.0432043,7
7.035538,7
8.973948,9
7.026888,7
0.0,0
6.024778,6
8.980229,9
3.9493246,4
3.0670671,5
6.025442,6
2.0108013,2
5.0155163,5
7.024903,7
4.007178,4
7.0375605,7
2.2691448,2
3.0670493,3
0.0,0
7.723461,8
3.947143,4
8.019181,8
0.0,0
